"adult","belongs_to_collection","budget","genres","homepage","id","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count"
"False","","0","[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","","58372","tt0114241","en","Reckless","On Christmas eve, a relentlessly cheerful woman escapes from the killers hired by her husband, and embarks on a series of strange encounters.","0.119713","/mIEtFo5z8G6b0r2mxHjfIWT7vy7.jpg","[{'name': 'Playhouse International Pictures', 'id': 2492}, {'name': 'American Playhouse', 'id': 3906}, {'name': 'Samuel Goldwyn Company, The', 'id': 28205}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-11-17","0","91","[{'iso_639_1': 'en', 'name': 'English'}]","Released","The most twisted Christmas ever.","Reckless","False","10","1"
"False","","0","[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]","","278939","tt0113173","en","Girl in the Cadillac","A runaway teenage girl and a drifter rob a bank, hit the road to elude the Texas Rangers and find love on the run.","0.405392","/mxrZvc4eLuznyXsFXamQIftVB8J.jpg","[{'name': 'Overseas FilmGroup', 'id': 888}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1995-10-24","0","89","[{'iso_639_1': 'en', 'name': 'English'}]","Released","On our first date... we robbed a bank","Girl in the Cadillac","False","10","1"
"False","","0","[{'id': 99, 'name': 'Documentary'}]","","73183","tt0113270","en","The Haunted World of Edward D. Wood, Jr.","The strange life and the wonderfully awful films of 1950's Hollywood Z movie director Ed Wood are profiled in this documentary that was conceived of and researched several years before commercial-filmmaker Tim Burton made his feature film tribute. Actually, Wood does not appear much in this film. Rather, it centers on the lives and thoughts of his entourage and those who knew him. Among those interviewed are Wood's former lover and star of his earliest films, Dolores Fuller, whom he abruptly replaced in the middle of Bride of the Monster with actress Loretta King who is also interviewed.","0.037443","/rarwGANB2L4EcxInVw1Q8TgcfU1.jpg","[{'name': 'Wood-Thomas Pictures', 'id': 33624}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1996-05-01","0","112","[]","Released","Can your MIND stand the SHOCKING TRUTH?","The Haunted World of Edward D. Wood, Jr.","False","10","1"
"False","","0","[{'id': 99, 'name': 'Documentary'}]","","255546","tt0109381","pt","Carmen Miranda: Bananas Is My Business","A biography of the Portuguese-Brazilian singer Carmen Miranda, whose most distinctive feature was her tutti frutti hat. She came to the US as the ""Brazilian Bombshell"" and was a Broadway and Hollywood star in the 1940s.","0.146287","/llDwjrtUdmLt09PuQhQvdJdK3Tl.jpg","[{'name': 'Channel Four Films', 'id': 181}, {'name': 'Riofilme', 'id': 21454}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","1995-04-13","0","91","[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pt', 'name': 'Portugu̻s'}]","Released","","Carmen Miranda: Bananas Is My Business","False","10","1"
"False","","0","[{'id': 18, 'name': 'Drama'}]","","64562","tt0119845","en","Other Voices Other Rooms","Truman Capote's semi-autobiographical first novel about coming of age in the Deep South during the 1930s centers on 13-year-old Joel Sansom (David Speck), who reunites with his estranged father at the family's shabby plantation, where he must contend with his father's feisty mistress and a strange cousin. Against this less-than-ideal backdrop, Joel slowly matures into an upstanding young man.","0.03668","/AoJSXmiC0oQOmP1F7iKFuCEIKkP.jpg","[]","[]","1995-09-15","0","0","[]","Released","","Other Voices Other Rooms","False","10","1"
"False","","0","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]","","78373","tt0118925","en","Dancer, Texas Pop. 81","Four guys, best friends, have grown up together in DANCER, TEXAS POP. 81, a tiny town in West Texas. Years ago, they made a solemn vow to leave town together as soon as they graduate. Now, it's that weekend and the time has come to ""put up or shut up."" The clock is ticking and as all 81 people in the town watch, comment, offer advice and place bets, these four very different boys with unique backgrounds struggle with the biggest decision of their lives... whether to stay or leave home.","0.567444","/khV9zPcvgOjrqwlk3dI1lGojZib.jpg","[{'name': 'HSX Films', 'id': 4714}, {'name': 'Chase Productions', 'id': 16517}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","1998-05-01","565592","97","[{'iso_639_1': 'en', 'name': 'English'}]","Released","in the middle of nowhere they had everything","Dancer, Texas Pop. 81","False","10","1"
"False","","0","[{'id': 18, 'name': 'Drama'}]","http://www.thefarmerswifefilm.co.uk/","143750","tt2140519","en","The Farmer's Wife","As her surroundings are invaded by outsiders, THE FARMER'S WIFE stoically carries out her daily tasks in preparation for what will be her final day on her farm, the only land she has known. Unable to accept this forced future, subconscious memories return that ultimately lead her to connect more to the countryside of her youth than ever before.","0.211754","/ePPNVWyIKYBdsGrOrYVaPKM8DlM.jpg","[]","[]","2012-06-20","0","18","[{'iso_639_1': 'en', 'name': 'English'}]","Released","","The Farmer's Wife","False","10","1"
"False","","0","[{'id': 35, 'name': 'Comedy'}]","","89861","tt0120210","en","Stiff Upper Lips","Stiff Upper Lips is a broad parody of British period films, especially the lavish Merchant-Ivory productions of the 'eighties and early 'nineties. Although it specifically targets A Room with a View, Chariots of Fire, Maurice, A Passage to India, and many other films, in a more general way Stiff Upper Lips satirises popular perceptions of certain Edwardian traits: propriety, sexual repression, xenophobia, and class snobbery.","0.882132","/qozMEPtSjU3bvKS9E4DNYzW1h8u.jpg","[]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'IN', 'name': 'India'}]","1998-06-12","0","99","[{'iso_639_1': 'en', 'name': 'English'}]","Released","","Stiff Upper Lips","False","10","1"
"False","","0","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]","","124853","tt0114008","en","Ten Benny","The story of a young shoe salesman whose overestimation of his own sharpness leads to gambling debts, pissed-off loan sharks, and overall misery.","0.064219","/8clglzeK8gi2qBU1CwL8loLPL6Y.jpg","[]","[]","1995-04-09","0","108","[]","Released","","Ten Benny","False","10","1"
"False","","0","[{'id': 99, 'name': 'Documentary'}]","","49477","tt0192069","en","Gendernauts: A Journey Through Shifting Identities","Monika Treut explores the worlds and thoughts of several female to male transgendered individuals. As with Treuts first film, Jungfrauenmaschine, Gendernauts, enters a minority sector of San Fransisco culture. The characters in this film have a lot to complain about, and they do. They are people whose physical appearance (female) does not match their inner sexual identity (male). The subject is pinpointed in the film independant of sexual orientation. Leave your conservative hats at the door, this is going to need your special attention.","0.073744","/a1ZzZfeIkHwqS0ky9sUa1NkUZV2.jpg","[]","[]","1999-06-12","0","87","[{'iso_639_1': 'en', 'name': 'English'}]","Released","","Gendernauts: A Journey Through Shifting Identities","False","10","2"
